Name,Price,Screensize,Memory
HP 15s-du3038TU (34W41PA),"42,990",15.6 Inch,8 GB
HP 15q-ds0004TU (4TT03PA),"21,990",15.6 Inch,4 GB
HP 15q-ds0005TU (4TT06PA),"24,815",15.6 Inch,4 GB
HP Pavilion 14-dv0543TU (4X7D7PA),"63,100",14 Inch,8 GB
HP 15s-gy0001AU (227U4PA),"26,990",15.6 Inch,4 GB
HP 15s-FQ2535TU (3V2N1PA),"60,990",15.6 Inch,8 GB
HP Pavilion Gaming 15-ec1025AX (183J8PA),"56,990",15.6 Inch,8 GB
HP 15q-ds0009TU (4TT12PA),"41,990",15.6 Inch,8 GB
HP 15q-ds0029tu (6DT09PA),"51,930",15.6 Inch,8 GB
HP 15-ac123tx (N8M28PA),"42,235",15.6 Inch,4 GB
HP Stream 11-ak0010nr (16V14UA),"32,762",11.6 Inch,4 GB
HP Pavilion Gaming 15-ec0104AX (194V6PA),"60,490",15.6 Inch,8 GB
HP 15-BS637TU (3KM36PA),"29,997",15.6 Inch,4 GB
HP 14s-dq3017TU (3Y0H4PA),"30,890",14 Inch,8 GB
HP 15s-du1052TU (1V4G6PA),"28,290",15.6 Inch,4 GB
HP 14s-DQ2535TU (3V7P2PA),"57,990",14 Inch,8 GB
HP 14s-dk0093au (7QZ52PA),"45,490",14 Inch,8 GB
HP Chromebook 14a-na0002TU (2Z326PA),"27,356",14 Inch,4 GB
HP 15s-fq2075TU (37D38PA),"48,500",15.6 Inch,8 GB
HP 14s-fr0016AU (300T0PA),"49,999",14 Inch,8 GB
HP Pavilion x360 14-dh1179TU (231T1PA),"62,990",14 Inch,8 GB
HP Pavilion Gaming 15-ec0062AX (9LA60PA),"56,135",15.6 Inch,8 GB
HP 15s-FQ2071TU (360L4PA),"55,990",15.6 Inch,8 GB
HP 15s-eq0500AU (440L6PA),"48,990",15.6 Inch,8 GB
Dell Inspiron 15 5559 (Z566303UIN9),"29,774",15.6 Inch,4 GB
Dell Inspiron 14 3467 (A561201UIN9),"28,543",14 Inch,4 GB
Dell Inspiron 14 3467 (A566514HIN9),"27,884",14 Inch,4 GB
Dell Vostro 14 3491 (D552118WIN9BE),"40,999",14 Inch,4 GB
Dell Inspiron 15 3558 (Z565103UIN9),"27,851",15.6 Inch,4 GB
Dell Inspiron 15 3505 (D560341WIN9S),"49,990",15.6 Inch,8 GB
Dell Inspiron 14 3467 (B566114HIN9),"29,990",14 Inch,4 GB
Dell Vostro 14 3401 (D552175WIN9BE),"40,620",14 Inch,8 GB
Dell Vostro 14 3400 (D552201WIN9DE),"42,400",14 Inch,8 GB
Dell Inspiron 15 3511 (D560611WIN9BE),"46,380",15.6 Inch,8 GB
Dell Vostro 14 3405 (D552148WIN9DE),"45,690",14 Inch,8 GB
Dell Inspiron 14 3493 (D560193WIN9SE),"41,990",14 Inch,4 GB
Dell Inspiron 15 3501 (D560397WIN9BE),"38,490",15.6 Inch,4 GB
Dell Inspiron 11 3162 (Z569501HIN4),"15,390",11.6 Inch,2 GB
Dell Vostro 14 3405 (D552122WIN9DE),"48,990",14 Inch,8 GB
Dell Inspiron 15 3505 (D560486WIN9S),"39,990",15.6 Inch,8 GB
Dell Inspiron 15 7567 (A562501WIN9),"77,990",15.6 Inch,8 GB
Dell Inspiron 15 3501 (D560421WIN9S),"41,615",15.6 Inch,8 GB
Dell Inspiron 14 5410 (D560563WIN9S),"52,990",14 Inch,8 GB
Dell Inspiron 15 3593 (D560159WIN9S),"40,999",15.6 Inch,8 GB
Dell Inspiron 15 3501 (D560492WIN9BE),"41,990",15.6 Inch,4 GB
Dell Inspiron 15 3576 (A566128WIN9),"48,900",15.6 Inch,8 GB
Dell Inspiron 15 5570 (A560126WIN9),"63,900",15.6 Inch,8 GB
Dell Inspiron 15 3501 (D560424WIN9S),"44,789",15.6 Inch,8 GB
Dell Inspiron 15 3584 (C563102WIN9),"38,990",15.6 Inch,4 GB
Dell Inspiron 15 3501 (D560412WIN9S),"59,088",15.6 Inch,8 GB
Dell Inspiron 14 5408 (D560210WIN9SE),"69,494",14 Inch,8 GB
Dell Inspiron 15 3505 (D560406WIN9BE),"37,998",15.6 Inch,8 GB
Dell Inspiron 15 3505 (D560485WIN9BE),"42,490",15.6 Inch,8 GB
Dell Vostro 14 3405 (D552147WIN9BE),"36,024",14 Inch,4 GB
Dell Inspiron 14 5406 (D560367WIN9S),"69,494",14 Inch,8 GB
Dell Inspiron 14 5408 (D560209WIN9SE),"60,689",14 Inch,8 GB
Dell Inspiron 14 5418 (D560481WIN9S),"69,990",14 Inch,16 GB
Dell Inspiron 14 5409 (D560363WIN9PE),"68,500",14 Inch,8 GB
Dell Inspiron 15 3505 (D560616WIN9SE),"45,990",15.6 Inch,8 GB
Dell Inspiron 15 3501 (D560437WIN9SE),"56,500",15.6 Inch,4 GB
Dell Inspiron 15 3501 (D560439WIN9S),"65,550",15.6 Inch,8 GB
Dell G3 15 3500 (D560317HIN9BE),"72,499",15.6 Inch,8 GB
Dell Vostro 14 3400 (D552172WIN9DE),"58,990",14 Inch,8 GB
Dell G3 15 3500 (D560245HIN9BE),"77,990",15.6 Inch,8 GB
Dell Inspiron 15 3501 (D560396WIN9BE),"45,335",15.6 Inch,8 GB
Dell Inspiron 15 3501 (D560331WIN9S),"39,490",15.6 Inch,4 GB
Dell Inspiron 15 3505 (D560428WIN9BE),"35,790",15.6 Inch,8 GB
Dell Inspiron 15 3583 (C563115WIN9),"52,200",15.6 Inch,8 GB
Dell Vostro 14 3400 (D552183WIN9DE),"62,290",14 Inch,8 GB
Dell Inspiron 15 3511 (D560593WIN9SE),"41,990",15.6 Inch,8 GB
Dell Inspiron 15 3501 (D560385WIN9S),"67,349",15.6 Inch,8 GB
Dell Inspiron 15 3593 (D560267WIN9S),"41,990",15.6 Inch,4 GB
